"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_a"
"04/05/2021 10:12:11:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08555001385425394","34.11780784038454","102.30000000000142","0.35153797865662273","727","176.40000000000376","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.0778609032973122","34.94467652099401","108.06000000000171","0.3578154425612053","720","175.5000000000036","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09445137157107238","35.01295399643445","119.61000000000202","0.3603264281230383","748","201.4200000000047","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09192297035189803","35.38340840364564","119.7000000000019","0.35969868173258","745","199.32000000000465","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09029509559434697","35.00574986498937","120.0000000000019","0.3691148775894539","735","198.2100000000045","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09445137157107265","34.76463390191674","118.23000000000197","0.35530445699937224","763","200.04000000000454","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.10279855915766149","34.47588986599662","114.12000000000191","0.3502824858757062","749","203.1600000000046","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.0843724023275142","35.27036753119542","124.4700000000022","0.3697426239799121","735","197.55000000000445","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09462454973676883","35.28704172467613","119.34000000000177","0.35844318895166355","749","201.3000000000046","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.10065114990301977","35.38994482556064","136.5600000000026","0.3804143126177024","744","223.74000000000555","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.09303131061235843","34.37275281492279","118.11000000000185","0.3659761456371626","743","198.6900000000046","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.09815738431698515","35.803559788893764","136.53000000000242","0.3822975517890772","741","221.5500000000055","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.09614851759490173","35.37164012470512","137.04000000000246","0.384180790960452","737","220.32000000000534","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.10117068440011083","35.07867559945059","135.09000000000245","0.3684871311989956","756","222.7200000000054","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.10993349958437257","34.79935093303375","130.77000000000243","0.3697426239799121","761","225.99000000000547","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.10082432806871726","35.7364209378179","136.02000000000223","0.3766478342749529","735","223.35000000000542","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.1075090052646161","35.74913476774246","153.30000000000322","0.39045825486503455","756","246.4200000000064","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.08949847603214131","35.6464797388945","141.8700000000028","0.384180790960452","728","219.39000000000527","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.10335272928789109","36.315356604721245","154.41000000000307","0.4011299435028249","746","243.93000000000634","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.09909254641174793","34.718610489605965","135.06000000000236","0.3785310734463277","740","220.89000000000544","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.11637572734829549","35.120501365102996","147.87000000000307","0.3854362837413685","756","248.67000000000633","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.10072042116929937","35.859125235997446","155.40000000000316","0.4017576898932831","744","242.64000000000618","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.10671238570241018","36.237911933151814","153.8100000000029","0.391713747645951","763","246.2400000000063","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.10775145469659217","35.46265203389297","152.5500000000031","0.3822975517890772","772","245.88000000000628","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.09469382100304752","36.06052648231347","159.87000000000347","0.3979912115505336","750","241.89000000000613","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.11408977556109678","36.087276420236684","170.49000000000387","0.4048964218455744","763","269.31000000000574","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.10771681906345203","36.822921226523235","172.56000000000375","0.41368487131198994","731","265.8600000000061","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.10484206151288426","35.105363804507945","152.55000000000302","0.3954802259887006","749","243.3600000000063","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.10459961208090872","36.42958526694261","174.21000000000387","0.416195856873823","739","264.8100000000056","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.12177888611803761","35.52118068420403","166.05000000000376","0.4017576898932831","762","271.5300000000047","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.1115960099750627","36.76352796992171","172.5300000000036","0.40426867545511613","765","269.1900000000053","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.09912718204488792","36.539610512384186","178.68000000000418","0.4118016321406152","755","264.5400000000059","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.11921584926572429","36.46823874069029","188.58000000000456","0.4155681104833647","751","291.84000000000333","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.11291216403435876","35.9138657205693","170.9700000000038","0.40426867545511613","763","268.7700000000054","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.11104183984483176","37.36746887794335","191.43000000000447","0.4274952919020716","725","287.61000000000365","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.10958714325297927","35.602145502975844","170.82000000000372","0.416195856873823","746","265.7400000000056","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.107058742033804","37.0251019407857","193.7400000000046","0.4293785310734463","722","286.4700000000034","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.1259697977279021","35.91337783383061","184.56000000000446","0.4143126177024482","738","293.6700000000019","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.11526738708783546","37.313467908902695","191.82000000000434","0.42247332077840555","749","291.6600000000026","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.10331809365475202","37.01727619944541","197.4000000000049","0.4218455743879473","745","286.89000000000374","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","14","0.11329315599889243","37.978315651930465","211.4100000000052","0.44569993722536094","731","309.54000000000104","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.11720698254364088","36.39428323412696","189.96000000000453","0.4143126177024482","757","291.48000000000326","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","14","0.12333748960931022","36.89483961808449","207.33000000000527","0.4312617702448211","744","314.1600000000011","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.112773621501801","36.15714226427624","190.17000000000445","0.4325172630257376","737","287.85000000000326","1000"
